City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2514216,Manacor,ES,39.5696,3.2096,68.18,77,0,4.41
364933,Umm Kaddadah,SD,13.6017,26.6876,82.92,51,13,3.83
2448083,Agadez,NE,19.75,10.25,77.13,20,4,9.04
4033557,Tautira,PF,-17.7333,-149.15,80.62,74,19,20.54
1296736,Shwebo,MM,22.5667,95.7,77.31,91,100,6.08
5848280,Kapaa,US,22.0752,-159.319,78.66,76,75,1.99
2412408,Nioro,GM,13.35,-15.75,73.02,97,99,7.87
2409914,Bonthe,SL,7.5264,-12.505,75.18,87,98,3.06
2400547,Gamba,GA,-2.65,10.0,75.34,89,100,6.76
5134295,Rome,US,43.2128,-75.4557,61.12,93,1,6.91
4020109,Atuona,PF,-9.8,-139.0333,77.67,79,22,21.83
110690,Abhā,SA,18.2164,42.5053,64.65,45,20,0.0
3893726,Constitución,CL,-35.3333,-72.4167,49.66,90,1,12.21
2075265,Busselton,AU,-33.65,115.3333,63.05,61,69,12.26
5354943,Half Moon Bay,US,37.4636,-122.4286,56.82,86,90,5.75
4030556,Rikitea,PF,-23.1203,-134.9692,74.3,70,0,11.1
5746545,Portland,US,45.5234,-122.6762,64.31,34,90,7.0
1006984,East London,ZA,-33.0153,27.9116,54.54,62,0,13.8
3874787,Punta Arenas,CL,-53.15,-70.9167,35.71,100,90,6.91
5546220,Saint George,US,37.1041,-113.5841,80.17,16,1,1.99
3470137,Belmonte,BR,-15.8631,-38.8828,75.7,82,57,8.84
2264557,Ponta do Sol,PT,32.6667,-17.1,71.94,69,36,4.0
3369157,Cape Town,ZA,-33.9258,18.4232,55.06,77,0,4.0
3833367,Ushuaia,AR,-54.8,-68.3,33.46,86,90,4.61
3457928,Mantenópolis,BR,-18.8625,-41.1228,64.94,93,18,3.56
2126199,Cherskiy,RU,68.75,161.3,46.87,56,96,10.51
3424607,Tasiilaq,GL,65.6145,-37.6368,33.96,66,31,6.78
